1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2E00000051026521
Is Mission Active?  true
Mission Start:  Sat Mar 14 18:02:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1965
Total Samples:  10024
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
14/03/20 6:02:00 PM,C,4
14/03/20 7:02:00 PM,C,3.5
14/03/20 8:02:00 PM,C,7.5
14/03/20 9:02:00 PM,C,7.5
14/03/20 10:02:00 PM,C,8
14/03/20 11:02:00 PM,C,7.5
15/03/20 12:02:00 AM,C,8
15/03/20 1:02:00 AM,C,8
15/03/20 2:02:00 AM,C,7.5
15/03/20 3:02:00 AM,C,7.5
15/03/20 4:02:00 AM,C,7.5
15/03/20 5:02:00 AM,C,7.5
15/03/20 6:02:00 AM,C,7.5
15/03/20 7:02:00 AM,C,7.5
15/03/20 8:02:00 AM,C,7.5
15/03/20 9:02:00 AM,C,7.5
15/03/20 10:02:00 AM,C,7.5
15/03/20 11:02:00 AM,C,8
15/03/20 12:02:00 PM,C,8
15/03/20 1:02:00 PM,C,9
15/03/20 2:02:00 PM,C,9
15/03/20 3:02:00 PM,C,9
15/03/20 4:02:00 PM,C,6.5
15/03/20 5:02:00 PM,C,5.5
15/03/20 6:02:00 PM,C,4.5
15/03/20 7:02:00 PM,C,4
15/03/20 8:02:00 PM,C,3
15/03/20 9:02:00 PM,C,2.5
15/03/20 10:02:00 PM,C,7
15/03/20 11:02:00 PM,C,7.5
16/03/20 12:02:00 AM,C,7.5
16/03/20 1:02:00 AM,C,8
16/03/20 2:02:00 AM,C,7.5
16/03/20 3:02:00 AM,C,7.5
16/03/20 4:02:00 AM,C,7.5
16/03/20 5:02:00 AM,C,7.5
16/03/20 6:02:00 AM,C,7.5
16/03/20 7:02:00 AM,C,7.5
16/03/20 8:02:00 AM,C,7.5
16/03/20 9:02:00 AM,C,7.5
16/03/20 10:02:00 AM,C,8
16/03/20 11:02:00 AM,C,8.5
16/03/20 12:02:00 PM,C,8
16/03/20 1:02:00 PM,C,11
16/03/20 2:02:00 PM,C,11.5
16/03/20 3:02:00 PM,C,10
16/03/20 4:02:00 PM,C,8.5
16/03/20 5:02:00 PM,C,6.5
16/03/20 6:02:00 PM,C,5.5
16/03/20 7:02:00 PM,C,4.5
16/03/20 8:02:00 PM,C,3.5
16/03/20 9:02:00 PM,C,3
16/03/20 10:02:00 PM,C,2.5
16/03/20 11:02:00 PM,C,5.5
17/03/20 12:02:00 AM,C,7.5
17/03/20 1:02:00 AM,C,7.5
17/03/20 2:02:00 AM,C,8
17/03/20 3:02:00 AM,C,8
17/03/20 4:02:00 AM,C,8
17/03/20 5:02:00 AM,C,8
17/03/20 6:02:00 AM,C,8
17/03/20 7:02:00 AM,C,8
17/03/20 8:02:00 AM,C,8
17/03/20 9:02:00 AM,C,8
17/03/20 10:02:00 AM,C,8
17/03/20 11:02:00 AM,C,8
17/03/20 12:02:00 PM,C,8.5
17/03/20 1:02:00 PM,C,8.5
17/03/20 2:02:00 PM,C,11.5
17/03/20 3:02:00 PM,C,11
17/03/20 4:02:00 PM,C,9
17/03/20 5:02:00 PM,C,8.5
17/03/20 6:02:00 PM,C,7
17/03/20 7:02:00 PM,C,5.5
17/03/20 8:02:00 PM,C,4.5
17/03/20 9:02:00 PM,C,4
17/03/20 10:02:00 PM,C,3.5
17/03/20 11:02:00 PM,C,3.5
18/03/20 12:02:00 AM,C,7.5
18/03/20 1:02:00 AM,C,7.5
18/03/20 2:02:00 AM,C,7.5
18/03/20 3:02:00 AM,C,8
18/03/20 4:02:00 AM,C,8
18/03/20 5:02:00 AM,C,8
18/03/20 6:02:00 AM,C,8
18/03/20 7:02:00 AM,C,8
18/03/20 8:02:00 AM,C,8
18/03/20 9:02:00 AM,C,8
18/03/20 10:02:00 AM,C,8
18/03/20 11:02:00 AM,C,8.5
18/03/20 12:02:00 PM,C,8.5
18/03/20 1:02:00 PM,C,8.5
18/03/20 2:02:00 PM,C,9
18/03/20 3:02:00 PM,C,12.5
18/03/20 4:02:00 PM,C,11.5
18/03/20 5:02:00 PM,C,9
18/03/20 6:02:00 PM,C,7.5
18/03/20 7:02:00 PM,C,6
18/03/20 8:02:00 PM,C,4.5
18/03/20 9:02:00 PM,C,4.5
18/03/20 10:02:00 PM,C,4
18/03/20 11:02:00 PM,C,4
19/03/20 12:02:00 AM,C,3.5
19/03/20 1:02:00 AM,C,8
19/03/20 2:02:00 AM,C,8
19/03/20 3:02:00 AM,C,8
19/03/20 4:02:00 AM,C,8
19/03/20 5:02:00 AM,C,8
19/03/20 6:02:00 AM,C,8
19/03/20 7:02:00 AM,C,8
19/03/20 8:02:00 AM,C,8
19/03/20 9:02:00 AM,C,8
19/03/20 10:02:00 AM,C,8
19/03/20 11:02:00 AM,C,8
19/03/20 12:02:00 PM,C,8.5
19/03/20 1:02:00 PM,C,8.5
19/03/20 2:02:00 PM,C,8.5
19/03/20 3:02:00 PM,C,8.5
19/03/20 4:02:00 PM,C,8.5
19/03/20 5:02:00 PM,C,9
19/03/20 6:02:00 PM,C,7
19/03/20 7:02:00 PM,C,6
19/03/20 8:02:00 PM,C,4.5
19/03/20 9:02:00 PM,C,4.5
19/03/20 10:02:00 PM,C,4
19/03/20 11:02:00 PM,C,3.5
20/03/20 12:02:00 AM,C,3
