1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A100000050FB0C21
Is Mission Active?  true
Mission Start:  Fri Jun 07 11:01:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1654
Total Samples:  1654
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
07/06/19 11:01:00 AM,C,20
07/06/19 12:01:00 PM,C,20.5
07/06/19 1:01:00 PM,C,21
07/06/19 2:01:00 PM,C,23.5
07/06/19 3:01:00 PM,C,25.5
07/06/19 4:01:00 PM,C,24
07/06/19 5:01:00 PM,C,20.5
07/06/19 6:01:00 PM,C,17.5
07/06/19 7:01:00 PM,C,13.5
07/06/19 8:01:00 PM,C,12
07/06/19 9:01:00 PM,C,11.5
07/06/19 10:01:00 PM,C,11.5
07/06/19 11:01:00 PM,C,11.5
08/06/19 12:01:00 AM,C,11
08/06/19 1:01:00 AM,C,11
08/06/19 2:01:00 AM,C,11
08/06/19 3:01:00 AM,C,11
08/06/19 4:01:00 AM,C,11
08/06/19 5:01:00 AM,C,11.5
08/06/19 6:01:00 AM,C,11.5
08/06/19 7:01:00 AM,C,11.5
08/06/19 8:01:00 AM,C,11.5
08/06/19 9:01:00 AM,C,11.5
08/06/19 10:01:00 AM,C,12.5
08/06/19 11:01:00 AM,C,25.5
08/06/19 12:01:00 PM,C,27.5
08/06/19 1:01:00 PM,C,30
08/06/19 2:01:00 PM,C,31
08/06/19 3:01:00 PM,C,30
08/06/19 4:01:00 PM,C,28.5
08/06/19 5:01:00 PM,C,26
08/06/19 6:01:00 PM,C,21
08/06/19 7:01:00 PM,C,17.5
08/06/19 8:01:00 PM,C,13
08/06/19 9:01:00 PM,C,12.5
08/06/19 10:01:00 PM,C,12.5
08/06/19 11:01:00 PM,C,12
09/06/19 12:01:00 AM,C,11.5
09/06/19 1:01:00 AM,C,11.5
09/06/19 2:01:00 AM,C,11.5
09/06/19 3:01:00 AM,C,11.5
09/06/19 4:01:00 AM,C,11.5
09/06/19 5:01:00 AM,C,10.5
09/06/19 6:01:00 AM,C,12
09/06/19 7:01:00 AM,C,15.5
09/06/19 8:01:00 AM,C,12
09/06/19 9:01:00 AM,C,12
09/06/19 10:01:00 AM,C,12.5
09/06/19 11:01:00 AM,C,16
09/06/19 12:01:00 PM,C,21
09/06/19 1:01:00 PM,C,25.5
09/06/19 2:01:00 PM,C,25
09/06/19 3:01:00 PM,C,21
09/06/19 4:01:00 PM,C,21.5
09/06/19 5:01:00 PM,C,23.5
09/06/19 6:01:00 PM,C,20.5
09/06/19 7:01:00 PM,C,18.5
09/06/19 8:01:00 PM,C,17
09/06/19 9:01:00 PM,C,13
09/06/19 10:01:00 PM,C,12
09/06/19 11:01:00 PM,C,12
10/06/19 12:01:00 AM,C,12
10/06/19 1:01:00 AM,C,11.5
10/06/19 2:01:00 AM,C,11.5
10/06/19 3:01:00 AM,C,11.5
10/06/19 4:01:00 AM,C,11.5
10/06/19 5:01:00 AM,C,11
10/06/19 6:01:00 AM,C,11.5
10/06/19 7:01:00 AM,C,13
10/06/19 8:01:00 AM,C,14.5
10/06/19 9:01:00 AM,C,14.5
10/06/19 10:01:00 AM,C,18.5
10/06/19 11:01:00 AM,C,24.5
10/06/19 12:01:00 PM,C,25
10/06/19 1:01:00 PM,C,28.5
10/06/19 2:01:00 PM,C,26
10/06/19 3:01:00 PM,C,27.5
10/06/19 4:01:00 PM,C,28
10/06/19 5:01:00 PM,C,26
10/06/19 6:01:00 PM,C,22
10/06/19 7:01:00 PM,C,19
10/06/19 8:01:00 PM,C,17.5
10/06/19 9:01:00 PM,C,16.5
10/06/19 10:01:00 PM,C,13
10/06/19 11:01:00 PM,C,12
11/06/19 12:01:00 AM,C,12
11/06/19 1:01:00 AM,C,12
11/06/19 2:01:00 AM,C,11.5
11/06/19 3:01:00 AM,C,11.5
11/06/19 4:01:00 AM,C,11.5
11/06/19 5:01:00 AM,C,11.5
11/06/19 6:01:00 AM,C,13.5
11/06/19 7:01:00 AM,C,18
11/06/19 8:01:00 AM,C,21.5
11/06/19 9:01:00 AM,C,25.5
11/06/19 10:01:00 AM,C,26.5
11/06/19 11:01:00 AM,C,29
11/06/19 12:01:00 PM,C,22.5
11/06/19 1:01:00 PM,C,21.5
11/06/19 2:01:00 PM,C,26
11/06/19 3:01:00 PM,C,28
11/06/19 4:01:00 PM,C,28.5
11/06/19 5:01:00 PM,C,26.5
11/06/19 6:01:00 PM,C,22.5
11/06/19 7:01:00 PM,C,20.5
11/06/19 8:01:00 PM,C,19
11/06/19 9:01:00 PM,C,17
11/06/19 10:01:00 PM,C,13
11/06/19 11:01:00 PM,C,13
12/06/19 12:01:00 AM,C,12.5
12/06/19 1:01:00 AM,C,12.5
12/06/19 2:01:00 AM,C,12
12/06/19 3:01:00 AM,C,12
12/06/19 4:01:00 AM,C,12
12/06/19 5:01:00 AM,C,12
12/06/19 6:01:00 AM,C,14
12/06/19 7:01:00 AM,C,18.5
12/06/19 8:01:00 AM,C,23
12/06/19 9:01:00 AM,C,27.5
12/06/19 10:01:00 AM,C,30
12/06/19 11:01:00 AM,C,30
12/06/19 12:01:00 PM,C,33.5
12/06/19 1:01:00 PM,C,15.5
12/06/19 2:01:00 PM,C,13.5
12/06/19 3:01:00 PM,C,13.5
12/06/19 4:01:00 PM,C,13
12/06/19 5:01:00 PM,C,14.5
12/06/19 6:01:00 PM,C,16
12/06/19 7:01:00 PM,C,16.5
12/06/19 8:01:00 PM,C,15.5
12/06/19 9:01:00 PM,C,15
12/06/19 10:01:00 PM,C,13
12/06/19 11:01:00 PM,C,13
13/06/19 12:01:00 AM,C,13
13/06/19 1:01:00 AM,C,13
13/06/19 2:01:00 AM,C,13
13/06/19 3:01:00 AM,C,13
13/06/19 4:01:00 AM,C,13
13/06/19 5:01:00 AM,C,12.5
13/06/19 6:01:00 AM,C,14
13/06/19 7:01:00 AM,C,18.5
13/06/19 8:01:00 AM,C,22
13/06/19 9:01:00 AM,C,26
13/06/19 10:01:00 AM,C,30
13/06/19 11:01:00 AM,C,33
13/06/19 12:01:00 PM,C,30.5
13/06/19 1:01:00 PM,C,23
13/06/19 2:01:00 PM,C,14
13/06/19 3:01:00 PM,C,13
13/06/19 4:01:00 PM,C,13.5
13/06/19 5:01:00 PM,C,13
13/06/19 6:01:00 PM,C,12.5
13/06/19 7:01:00 PM,C,12.5
13/06/19 8:01:00 PM,C,12.5
13/06/19 9:01:00 PM,C,12.5
13/06/19 10:01:00 PM,C,12.5
13/06/19 11:01:00 PM,C,13
14/06/19 12:01:00 AM,C,12.5
14/06/19 1:01:00 AM,C,12.5
14/06/19 2:01:00 AM,C,12.5
14/06/19 3:01:00 AM,C,12.5
14/06/19 4:01:00 AM,C,12
14/06/19 5:01:00 AM,C,12
14/06/19 6:01:00 AM,C,12
14/06/19 7:01:00 AM,C,14.5
14/06/19 8:01:00 AM,C,15
14/06/19 9:01:00 AM,C,15.5
14/06/19 10:01:00 AM,C,19.5
14/06/19 11:01:00 AM,C,24.5
14/06/19 12:01:00 PM,C,28
14/06/19 1:01:00 PM,C,30
14/06/19 2:01:00 PM,C,25.5
14/06/19 3:01:00 PM,C,14
14/06/19 4:01:00 PM,C,13.5
14/06/19 5:01:00 PM,C,12.5
14/06/19 6:01:00 PM,C,12.5
14/06/19 7:01:00 PM,C,12.5
14/06/19 8:01:00 PM,C,12.5
14/06/19 9:01:00 PM,C,12.5
14/06/19 10:01:00 PM,C,13
14/06/19 11:01:00 PM,C,13
15/06/19 12:01:00 AM,C,13
15/06/19 1:01:00 AM,C,13
15/06/19 2:01:00 AM,C,13
15/06/19 3:01:00 AM,C,13
15/06/19 4:01:00 AM,C,13
15/06/19 5:01:00 AM,C,12.5
15/06/19 6:01:00 AM,C,12.5
15/06/19 7:01:00 AM,C,17
15/06/19 8:01:00 AM,C,21.5
15/06/19 9:01:00 AM,C,25.5
15/06/19 10:01:00 AM,C,29.5
15/06/19 11:01:00 AM,C,32.5
15/06/19 12:01:00 PM,C,34.5
15/06/19 1:01:00 PM,C,36.5
